module_idx,module_name,category,source,description
2431,Mathlib.CategoryTheory.Comma.Arrow,CategoryTheory,name_tokens,category theory category theory comma arrow
2432,Mathlib.CategoryTheory.Comma.Basic,CategoryTheory,name_tokens,category theory category theory comma basic
2433,Mathlib.CategoryTheory.Comma.CardinalArrow,CategoryTheory,name_tokens,category theory category theory comma cardinal arrow
2434,Mathlib.CategoryTheory.Comma.Final,CategoryTheory,name_tokens,category theory category theory comma final
2435,Mathlib.CategoryTheory.Comma.LocallySmall,CategoryTheory,name_tokens,category theory category theory comma locally small
2436,Mathlib.CategoryTheory.Comma.Over.Basic,CategoryTheory,name_tokens,category theory category theory comma over basic
2437,Mathlib.CategoryTheory.Comma.Over.OverClass,CategoryTheory,name_tokens,category theory category theory comma over over class
2438,Mathlib.CategoryTheory.Comma.Over.Pullback,CategoryTheory,name_tokens,category theory category theory comma over pullback
2439,Mathlib.CategoryTheory.Comma.Presheaf.Basic,CategoryTheory,name_tokens,category theory category theory comma presheaf basic
2440,Mathlib.CategoryTheory.Comma.Presheaf.Colimit,CategoryTheory,name_tokens,category theory category theory comma presheaf colimit
2441,Mathlib.CategoryTheory.Comma.StructuredArrow.Basic,CategoryTheory,name_tokens,category theory category theory comma structured arrow basic
2442,Mathlib.CategoryTheory.Comma.StructuredArrow.CommaMap,CategoryTheory,name_tokens,category theory category theory comma structured arrow comma map
2443,Mathlib.CategoryTheory.Comma.StructuredArrow.Final,CategoryTheory,name_tokens,category theory category theory comma structured arrow final
2444,Mathlib.CategoryTheory.Comma.StructuredArrow.Functor,CategoryTheory,name_tokens,category theory category theory comma structured arrow functor
2445,Mathlib.CategoryTheory.Comma.StructuredArrow.Small,CategoryTheory,name_tokens,category theory category theory comma structured arrow small
2446,Mathlib.CategoryTheory.ComposableArrows.Basic,CategoryTheory,name_tokens,category theory category theory composable arrows basic
2447,Mathlib.CategoryTheory.ComposableArrows.Four,CategoryTheory,name_tokens,category theory category theory composable arrows four
2448,Mathlib.CategoryTheory.ComposableArrows.One,CategoryTheory,name_tokens,category theory category theory composable arrows one
2449,Mathlib.CategoryTheory.ComposableArrows.Three,CategoryTheory,name_tokens,category theory category theory composable arrows three
2450,Mathlib.CategoryTheory.ComposableArrows.Two,CategoryTheory,name_tokens,category theory category theory composable arrows two
2451,Mathlib.CategoryTheory.ConcreteCategory.Basic,CategoryTheory,name_tokens,category theory category theory concrete category basic
2452,Mathlib.CategoryTheory.ConcreteCategory.Bundled,CategoryTheory,name_tokens,category theory category theory concrete category bundled
2453,Mathlib.CategoryTheory.ConcreteCategory.BundledHom,CategoryTheory,name_tokens,category theory category theory concrete category bundled hom
2454,Mathlib.CategoryTheory.ConcreteCategory.Elementwise,CategoryTheory,name_tokens,category theory category theory concrete category elementwise
2455,Mathlib.CategoryTheory.ConcreteCategory.EpiMono,CategoryTheory,name_tokens,category theory category theory concrete category epi mono
2456,Mathlib.CategoryTheory.ConcreteCategory.Forget,CategoryTheory,name_tokens,category theory category theory concrete category forget
2457,Mathlib.CategoryTheory.ConcreteCategory.ReflectsIso,CategoryTheory,name_tokens,category theory category theory concrete category reflects iso
2458,Mathlib.CategoryTheory.ConcreteCategory.UnbundledHom,CategoryTheory,name_tokens,category theory category theory concrete category unbundled hom
2459,Mathlib.CategoryTheory.Conj,CategoryTheory,name_tokens,category theory category theory conj
2460,Mathlib.CategoryTheory.ConnectedComponents,CategoryTheory,name_tokens,category theory category theory connected components
2461,Mathlib.CategoryTheory.CopyDiscardCategory.Basic,CategoryTheory,name_tokens,category theory category theory copy discard category basic
2462,Mathlib.CategoryTheory.CopyDiscardCategory.Cartesian,CategoryTheory,name_tokens,category theory category theory copy discard category cartesian
2463,Mathlib.CategoryTheory.CopyDiscardCategory.Deterministic,CategoryTheory,name_tokens,category theory category theory copy discard category deterministic
2464,Mathlib.CategoryTheory.Core,CategoryTheory,name_tokens,category theory category theory core
2465,Mathlib.CategoryTheory.Countable,CategoryTheory,name_tokens,category theory category theory countable
2466,Mathlib.CategoryTheory.Dialectica.Basic,CategoryTheory,name_tokens,category theory category theory dialectica basic
2467,Mathlib.CategoryTheory.Dialectica.Monoidal,CategoryTheory,name_tokens,category theory category theory dialectica monoidal
