mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,name_score,text_score,category_score,graph_score,combined_score,rank
gseries,solvable,Mathlib.GroupTheory.Subsemigroup.Center,GroupTheory,0.125,0.0186,1.0,0.125,0.1699,8
gseries,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.1429,0.0253,1.0,0.0833,0.1696,9
gseries,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.0769,0.1148,1.0,0.0,0.169,10
frobenius,solvable,Mathlib.Algebra.CharP.Frobenius,Algebra,0.1667,0.4514,0.0,0.0,0.2306,1
frobenius,solvable,Mathlib.RingTheory.Frobenius,RingTheory,0.1667,0.4039,0.0,0.0,0.2116,2
frobenius,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.1667,0.1521,1.0,0.0,0.2108,3
frobenius,solvable,Mathlib.GroupTheory.SemidirectProduct,GroupTheory,0.125,0.1097,1.0,0.1429,0.2099,4
frobenius,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.1429,0.0644,1.0,0.1429,0.1972,5
frobenius,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.1667,0.0526,1.0,0.125,0.196,6
frobenius,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.125,0.1395,1.0,0.0,0.1933,7
frobenius,solvable,Mathlib.GroupTheory.GroupAction.Period,GroupTheory,0.125,0.1346,1.0,0.0,0.1913,8
frobenius,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.125,0.1346,1.0,0.0,0.1913,9
frobenius,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.125,0.1346,1.0,0.0,0.1913,10
cyclic,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.2857,0.3935,1.0,0.0476,0.3526,1
cyclic,solvable,Mathlib.Algebra.Order.Group.Cyclic,Algebra,0.5,0.4417,0.0,0.0,0.3267,2
cyclic,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.2,0.1741,1.0,0.0,0.2296,3
cyclic,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2,0.1228,1.0,0.1,0.2291,4
cyclic,solvable,Mathlib.GroupTheory.GroupExtension.Defs,GroupTheory,0.1429,0.1512,1.0,0.125,0.2283,5
cyclic,solvable,Mathlib.GroupTheory.Complement,GroupTheory,0.2,0.1202,1.0,0.0769,0.2234,6
cyclic,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.2,0.1586,1.0,0.0,0.2234,7
cyclic,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.2,0.1178,1.0,0.0714,0.2214,8
cyclic,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2,0.1528,1.0,0.0,0.2211,9
cyclic,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.1667,0.162,1.0,0.0,0.2148,10
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.0,0.0,1.0,0.25,0.15,1
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Transitive,GroupTheory,0.0,0.0,1.0,0.25,0.15,2
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.SubMulAction.OfFixingSubgroup,GroupTheory,0.0,0.0,1.0,0.1429,0.1286,3
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Blocks,GroupTheory,0.0,0.0,1.0,0.125,0.125,4
burnside_app,solvable,Mathlib.NumberTheory.NumberField.ProductFormula,NumberTheory,0.0,0.3109,0.0,0.0,0.1244,5
burnside_app,solvable,Mathlib.Algebra.Homology.Square,Algebra,0.0,0.2659,0.0,0.0,0.1063,6
burnside_app,solvable,Mathlib.CategoryTheory.Square,CategoryTheory,0.0,0.2657,0.0,0.0,0.1063,7
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.SubMulAction.Combination,GroupTheory,0.0,0.0,1.0,0.0,0.1,8
burnside_app,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.0,0.0,1.0,0.0,0.1,9
burnside_app,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.0,0.0,1.0,0.0,0.1,10
eqtype,boot,Mathlib.Data.Subtype,Data,0.0,0.2384,1.0,0.0,0.1954,1
eqtype,boot,Mathlib.Tactic.ProxyType,Tactic,0.125,0.0456,1.0,0.0,0.1557,2
eqtype,boot,Mathlib.Data.TypeVec,Data,0.125,0.0347,1.0,0.0,0.1514,3
eqtype,boot,Mathlib.Tactic.DefEqTransformations,Tactic,0.1111,0.0439,1.0,0.0,0.1509,4
eqtype,boot,Mathlib.Data.Nat.WithBot,Data,0.0,0.0,1.0,0.25,0.15,5
eqtype,boot,Mathlib.Order.TypeTags,Order,0.125,0.0302,1.0,0.0,0.1496,6
eqtype,boot,Mathlib.Tactic.TypeStar,Tactic,0.125,0.0292,1.0,0.0,0.1492,7
eqtype,boot,Mathlib.Tactic.TypeCheck,Tactic,0.125,0.0261,1.0,0.0,0.148,8
eqtype,boot,Mathlib.Data.Nat.ModEq,Data,0.1111,0.0359,1.0,0.0,0.1477,9
eqtype,boot,Mathlib.Tactic.Simps.NotationClass,Tactic,0.0,0.1178,1.0,0.0,0.1471,10
seq,boot,Mathlib.Data.Seq.Seq,Data,0.25,0.2119,1.0,0.0,0.2598,1
seq,boot,Mathlib.Data.List.Palindrome,Data,0.2,0.0695,1.0,0.2,0.2278,2
seq,boot,Mathlib.Data.WSeq.Productive,Data,0.1667,0.1507,1.0,0.0,0.2103,3
seq,boot,Mathlib.Data.Seq.Computation,Data,0.2,0.1253,1.0,0.0,0.2101,4
seq,boot,Mathlib.Data.Seq.Parallel,Data,0.2,0.1224,1.0,0.0,0.2089,5
seq,boot,Mathlib.Tactic.ProxyType,Tactic,0.0,0.2719,1.0,0.0,0.2088,6
seq,boot,Mathlib.Data.Seq.Basic,Data,0.2,0.1158,1.0,0.0,0.2063,7
seq,boot,Mathlib.Data.Seq.Defs,Data,0.2,0.1118,1.0,0.0,0.2047,8
